supplement_id,analysis_section,filename,file_format,title,description,release_status,manuscript_use,source_path,source_sha256,additional_source_paths,additional_source_sha256,output_sha256,rows,columns,bytes
S11,TE ordination,Supplementary_Data_S11_te_pca_loadings.csv,CSV,TE PCA loadings,Superfamily loadings from the same 24-feature ubiquitous-superfamily CLR-PCA fit as S09 and S10.,supplementary,Supports biological interpretation of ordination axes.,analyses/01_transposable_elements/data/te_pca_loadings.csv,cd6b43016b33a29249a22e3c2ad361a70943575946119284ecd434095139590e,[],{},cd6b43016b33a29249a22e3c2ad361a70943575946119284ecd434095139590e,24,24,11012
S12,Repeat landscape,Supplementary_Data_S12_repeatmasker_divergence_landscape.csv,CSV,RepeatMasker divergence landscape,Species- and order-level hit counts and aligned bases in one-percentage-point divergence bins.,main_candidate,Primary repeat-landscape input.,analyses/01_transposable_elements/data/repeatmasker_divergence_landscape.csv,c32685aa8586c4a0c89398b4e12759a6b5fc991c871f15cecc02ec240d681c79,[],{},c32685aa8586c4a0c89398b4e12759a6b5fc991c871f15cecc02ec240d681c79,13371,8,1027064
S13,Repeat landscape,Supplementary_Data_S13_repeatmasker_species_inventory.csv,CSV,RepeatMasker species inventory,"Species-level hit counts, aligned bases, and detected TE orders.",main_candidate,Supports RepeatMasker coverage/accounting.,analyses/01_transposable_elements/data/repeatmasker_species_inventory.csv,13289d1e814e8f24f0fb1aefd6a7f29ce1998db7a4b99781d2c66543f0ec979c,[],{},13289d1e814e8f24f0fb1aefd6a7f29ce1998db7a4b99781d2c66543f0ec979c,34,4,1006
S14,LTR deletion-footprint proxy,Supplementary_Data_S14_ltr_terminal_internal_elements.csv,CSV,Element-level terminal:internal depth metrics,"Non-destructive zero-aware audit of 1,086 historically selected usable LTR elements, including corrected TEsorter domain counts, current LTR/Gypsy eligibility, regional coverage, IQR decisions, and primary membership.",sensitivity_only,Exploratory deletion-footprint proxy; not an ectopic-recombination rate.,analyses/01_transposable_elements/data/ltr_element_metrics.csv,c332c2ba11a083b25d4edbf55bd5b2d2fd7c0f2b3da6cef9ab3dff1d7bf35bae,"[""analyses/01_transposable_elements/recompute_ltr_release.py"",""analyses/01_transposable_elements/provenance/ltr_terminal_internal_release.json""]","{""analyses/01_transposable_elements/provenance/ltr_terminal_internal_release.json"":""82d79cb79ea0a16f5a8b16c10598d096a40d1d7c31660f5c72c07631e8622709"",""analyses/01_transposable_elements/recompute_ltr_release.py"":""7e597cd842fa6c336474208840c298caaa362ceb5ab0171fb3febc47a2d830df""}",c332c2ba11a083b25d4edbf55bd5b2d2fd7c0f2b3da6cef9ab3dff1d7bf35bae,1086,82,995546
S15,LTR deletion-footprint proxy,Supplementary_Data_S15_ltr_terminal_internal_species_robustness.csv,CSV,Species-level terminal:internal robustness,"Species summaries across declared element branches, including the primary two-sided IQR-filtered regional-positive-depth branch and robust estimator diagnostics.",sensitivity_only,Robustness analysis for the exploratory proxy.,analyses/01_transposable_elements/data/ltr_species_robustness.csv,9e33b0974f3a24227117652caf5f866bd16e05b7147e21eedf70dc7c1b460387,"[""analyses/01_transposable_elements/data/ltr_element_metrics.csv"",""analyses/01_transposable_elements/recompute_ltr_release.py"",""analyses/01_transposable_elements/provenance/ltr_terminal_internal_release.json""]","{""analyses/01_transposable_elements/data/ltr_element_metrics.csv"":""c332c2ba11a083b25d4edbf55bd5b2d2fd7c0f2b3da6cef9ab3dff1d7bf35bae"",""analyses/01_transposable_elements/provenance/ltr_terminal_internal_release.json"":""82d79cb79ea0a16f5a8b16c10598d096a40d1d7c31660f5c72c07631e8622709"",""analyses/01_transposable_elements/recompute_ltr_release.py"":""7e597cd842fa6c336474208840c298caaa362ceb5ab0171fb3febc47a2d830df""}",9e33b0974f3a24227117652caf5f866bd16e05b7147e21eedf70dc7c1b460387,148,23,56308
S16,LTR deletion-footprint proxy,Supplementary_Data_S16_ltr_resource_coverage.csv,CSV,LTR resource coverage,"Per-species LTR resource audit separating historical pipe-split counts from correct LTR/Gypsy five-domain eligibility, IQR retention, coverage, and primary support.",supplementary,Defines LTR analysis support.,analyses/01_transposable_elements/data/ltr_resource_coverage.csv,25cb335ea86ec62b2e246ffd29987babd0dd7f4c2298180f0025e0d7365a4d3e,"[""analyses/01_transposable_elements/data/ltr_element_metrics.csv"",""analyses/01_transposable_elements/recompute_ltr_release.py"",""analyses/01_transposable_elements/provenance/ltr_terminal_internal_release.json""]","{""analyses/01_transposable_elements/data/ltr_element_metrics.csv"":""c332c2ba11a083b25d4edbf55bd5b2d2fd7c0f2b3da6cef9ab3dff1d7bf35bae"",""analyses/01_transposable_elements/provenance/ltr_terminal_internal_release.json"":""82d79cb79ea0a16f5a8b16c10598d096a40d1d7c31660f5c72c07631e8622709"",""analyses/01_transposable_elements/recompute_ltr_release.py"":""7e597cd842fa6c336474208840c298caaa362ceb5ab0171fb3febc47a2d830df""}",25cb335ea86ec62b2e246ffd29987babd0dd7f4c2298180f0025e0d7365a4d3e,34,18,7258
S17,LTR deletion-footprint proxy,Supplementary_Data_S17_ltr_excluded_elements.csv,CSV,Excluded LTR elements,Two source-corrupt rows from the historical pipe-split cohort; both have four real TEsorter domain annotations and are audit-only under the corrected gate.,audit_only,Reviewer audit trail.,analyses/01_transposable_elements/data/ltr_excluded_elements.csv,c3f8aefe0d9fab25f19fc57c2acf6ca5f38d5769600b627813fdd5d7bbfcad04,"[""analyses/01_transposable_elements/provenance/ltr_terminal_internal_release.json""]","{""analyses/01_transposable_elements/provenance/ltr_terminal_internal_release.json"":""82d79cb79ea0a16f5a8b16c10598d096a40d1d7c31660f5c72c07631e8622709""}",c3f8aefe0d9fab25f19fc57c2acf6ca5f38d5769600b627813fdd5d7bbfcad04,2,27,1398
S18,Cell and nucleus morphometry,Supplementary_Data_S18_frozen_cell_nucleus_objects.csv,CSV,Finalized reviewed cell-nucleus objects,"All 1,152 manually reviewed cell/nucleus pairs across 24 species; below-target species retain their available accepted objects.",main_candidate,Object-level source for cell and nucleus area estimates.,analyses/02_morphology/data/cell_nucleus_objects.csv,7cc2904f00038dccb95d5c746364611b79bfaf1f9ade45928a41dfcfb6ca99f3,[],{},7cc2904f00038dccb95d5c746364611b79bfaf1f9ade45928a41dfcfb6ca99f3,1152,151,3280148
S19,Cell and nucleus morphometry,Supplementary_Data_S19_cell_nucleus_species_estimates.csv,CSV,Cell and nucleus species estimates,"Upper-tail species medians, conditional paired-object bootstrap intervals, and animal/image support from all 24 finalized reviewed panels.",main_candidate,Primary descriptive morphology table; intervals are conditional on observed animals and images and are not population-level uncertainty.,analyses/02_morphology/data/cell_nucleus_species_estimates.csv,43030ad133cfb667bda3eb6c29f519e7c036541d4801c68f05cb6fe193574e44,"[""analyses/02_morphology/data/cell_nucleus_objects.csv"",""analyses/02_morphology/provenance/review_finalization.json""]","{""analyses/02_morphology/data/cell_nucleus_objects.csv"":""7cc2904f00038dccb95d5c746364611b79bfaf1f9ade45928a41dfcfb6ca99f3"",""analyses/02_morphology/provenance/review_finalization.json"":""3e19bc437e16e6d8b95c3891352302c51fe1e2a9fe6ed52b57bb82cbe196e8b6""}",43030ad133cfb667bda3eb6c29f519e7c036541d4801c68f05cb6fe193574e44,24,12,2218
S20,Cell and nucleus morphometry,Supplementary_Data_S20_cell_mask_freeze_audit.csv,CSV,Below-target cell-mask review audit,"Manual keep/problem decisions used to finalize D. aeneus, D. orestes, and D. wrighti without treating 50 objects as an exclusion threshold.",audit_only,Reviewer reconstruction of the three below-target inclusions.,analyses/02_morphology/data/cell_mask_review_audit.csv,ffc99f779c710a605d0cadd66fd60c54d84f07de120bda00f5bc0cbbeabf2284,[],{},ffc99f779c710a605d0cadd66fd60c54d84f07de120bda00f5bc0cbbeabf2284,129,11,40595
S21,Nuclear IOD,Supplementary_Data_S21_frozen_nuclear_iod_objects.csv,CSV,Finalized reviewed nuclear-IOD objects,All 805 reviewed nuclei retained across the 24-species image-quality-matched panel.,sensitivity_only,Object-level source for relative nuclear IOD.,analyses/02_morphology/data/nuclear_iod_objects.csv,fffc91fa5f53a374711b7b71baf2292733e6185fa7d86bb02dc189a9cfc6d4bf,[],{},fffc91fa5f53a374711b7b71baf2292733e6185fa7d86bb02dc189a9cfc6d4bf,805,201,2928720
S22,Nuclear IOD,Supplementary_Data_S22_relative_nuclear_iod_species.csv,CSV,Relative nuclear-IOD species estimates,"Equal-image means of within-image median nuclear IOD, normalized to the Path24 median, with conditional uncertainty and clearly separated fuscus scaling.",sensitivity_only,Approved as relative IOD only; not validated absolute genome size.,analyses/02_morphology/data/relative_nuclear_iod_species.csv,568e072ce9de9025c715afe498a006ef8e1a6001d8c137c196a9323800597bba,"[""analyses/02_morphology/data/nuclear_iod_objects.csv"",""analyses/02_morphology/data/nuclear_iod_by_image.csv"",""analyses/02_morphology/provenance/iod_source_manifest.json"",""analyses/02_morphology/provenance/review_finalization.json""]","{""analyses/02_morphology/data/nuclear_iod_by_image.csv"":""577cc0d074715a91a2304320b134d474c75bdd2f4e04b5d93ce321b0c3e32033"",""analyses/02_morphology/data/nuclear_iod_objects.csv"":""fffc91fa5f53a374711b7b71baf2292733e6185fa7d86bb02dc189a9cfc6d4bf"",""analyses/02_morphology/provenance/iod_source_manifest.json"":""0c95236626ed08e40a3d9310f1c123a5828f58f332a319ffb4538d569fe57199"",""analyses/02_morphology/provenance/review_finalization.json"":""3e19bc437e16e6d8b95c3891352302c51fe1e2a9fe6ed52b57bb82cbe196e8b6""}",568e072ce9de9025c715afe498a006ef8e1a6001d8c137c196a9323800597bba,24,37,11091
S23,Nuclear IOD,Supplementary_Data_S23_nuclear_iod_by_image.csv,CSV,Unnormalized image-level nuclear IOD,Unnormalized image-specific nuclear-IOD summaries used to construct and audit the equal-image species estimator.,sensitivity_only,Image-level assay and aggregation audit; values are not ratios.,analyses/02_morphology/data/nuclear_iod_by_image.csv,577cc0d074715a91a2304320b134d474c75bdd2f4e04b5d93ce321b0c3e32033,"[""analyses/02_morphology/data/nuclear_iod_objects.csv"",""analyses/02_morphology/provenance/review_finalization.json""]","{""analyses/02_morphology/data/nuclear_iod_objects.csv"":""fffc91fa5f53a374711b7b71baf2292733e6185fa7d86bb02dc189a9cfc6d4bf"",""analyses/02_morphology/provenance/review_finalization.json"":""3e19bc437e16e6d8b95c3891352302c51fe1e2a9fe6ed52b57bb82cbe196e8b6""}",577cc0d074715a91a2304320b134d474c75bdd2f4e04b5d93ce321b0c3e32033,51,10,6440
S24,Nuclear IOD,Supplementary_Data_S24_nuclear_iod_quality_balance.csv,CSV,Nuclear-IOD quality balance,Species-level support and balance against the apalachicolae quality template; the declared gate is absolute SMD <= 0.10 and KS distance <= 0.25.,audit_only,Assay quality audit.,analyses/02_morphology/data/nuclear_iod_quality_balance.csv,86c632626923d0830313b908968d84b8004a3249e7ed3457cc2b24e789fe9017,"[""analyses/02_morphology/data/nuclear_iod_objects.csv"",""analyses/02_morphology/provenance/iod_source_manifest.json"",""analyses/02_morphology/provenance/review_finalization.json""]","{""analyses/02_morphology/data/nuclear_iod_objects.csv"":""fffc91fa5f53a374711b7b71baf2292733e6185fa7d86bb02dc189a9cfc6d4bf"",""analyses/02_morphology/provenance/iod_source_manifest.json"":""0c95236626ed08e40a3d9310f1c123a5828f58f332a319ffb4538d569fe57199"",""analyses/02_morphology/provenance/review_finalization.json"":""3e19bc437e16e6d8b95c3891352302c51fe1e2a9fe6ed52b57bb82cbe196e8b6""}",86c632626923d0830313b908968d84b8004a3249e7ed3457cc2b24e789fe9017,24,10,2837
S25,Nuclear IOD,Supplementary_Data_S25_nuclear_iod_quality_diagnostics.csv,CSV,Nuclear-IOD quality diagnostics,"Within-species-centered associations between image-quality features and log nuclear IOD, retained as descriptive confounding diagnostics.",audit_only,Assay quality audit.,analyses/02_morphology/data/nuclear_iod_quality_diagnostics.csv,e1005979e418169fdf7cb4e0fd6c00c3d2b69c427434e6236331250ed76b8c9b,"[""analyses/02_morphology/data/nuclear_iod_objects.csv"",""analyses/02_morphology/provenance/iod_source_manifest.json""]","{""analyses/02_morphology/data/nuclear_iod_objects.csv"":""fffc91fa5f53a374711b7b71baf2292733e6185fa7d86bb02dc189a9cfc6d4bf"",""analyses/02_morphology/provenance/iod_source_manifest.json"":""0c95236626ed08e40a3d9310f1c123a5828f58f332a319ffb4538d569fe57199""}",e1005979e418169fdf7cb4e0fd6c00c3d2b69c427434e6236331250ed76b8c9b,2,4,195
S26,Pairwise comparative analysis,Supplementary_Data_S26_pairwise_pgls_sensitivity.csv,CSV,Pairwise PGLS sensitivity,"Raw correlations and Pagel-lambda PGLS fits among relative nuclear IOD, nucleus area, and cell area.",sensitivity_only,Relative-IOD association sensitivity; do not present as independently validated genome size.,analyses/03_phylogenetic_path/data/pairwise_pgls.csv,0dfdc9490f70bfc9b1599edb84b824c6dea90e9c4f3dfd94e895ffd95d9debd9,[],{},0dfdc9490f70bfc9b1599edb84b824c6dea90e9c4f3dfd94e895ffd95d9debd9,3,29,1541
S27,Phylogenetic path analysis,Supplementary_Data_S27_path_standardized_traits.csv,CSV,Standardized Path24 relative-IOD traits,"Log10-transformed and standardized relative nuclear IOD, nucleus area, and cell area for the 24-species primary fit.",main_candidate,Primary path-analysis trait matrix; relative IOD is not an absolute genome-size measurement.,analyses/03_phylogenetic_path/data/path_standardized_traits.csv,8a2609ead2c31567422ee717d7fe1d1c755cff50eaae2ba54f99d3192f14f87d,[],{},8a2609ead2c31567422ee717d7fe1d1c755cff50eaae2ba54f99d3192f14f87d,24,6,5403
S28,Phylogenetic path analysis,Supplementary_Data_S28_pairwise_phylogenetic_regressions.csv,CSV,Pairwise relative-IOD phylogenetic regressions,"Scale-invariant pairwise phylogenetic regression fits among relative nuclear IOD, nucleus area, and cell area.",sensitivity_only,Exploratory pairwise associations; relative IOD is not absolute genome size.,analyses/03_phylogenetic_path/data/pairwise_phylogenetic_regressions.csv,2f69b40b2f610da82d063706d77ba79be44e030bf9b497acff73d892dd5882c6,[],{},2f69b40b2f610da82d063706d77ba79be44e030bf9b497acff73d892dd5882c6,12,14,3309
S29,Phylogenetic path sensitivity,Supplementary_Data_S29_evolutionary_model_sensitivity.csv,CSV,Evolutionary-model sensitivity,Relative-IOD path-model rankings under the declared phylogenetic evolutionary models.,supplementary,Evolutionary-model sensitivity audit; no absolute-genome-size claim.,analyses/03_phylogenetic_path/data/evolutionary_model_sensitivity.csv,f2d7ea822a506b634441da3176e5f8b2f17a0aeb596f006c51a8bedd18ed3908,[],{},f2d7ea822a506b634441da3176e5f8b2f17a0aeb596f006c51a8bedd18ed3908,40,23,11272
S30,Phylogenetic path analysis,Supplementary_Data_S30_path_model_comparison.csv,CSV,Relative-IOD path-model comparison,"Global-fit, CICc, delta, and weights for the finalized 24-species relative-IOD analysis.",sensitivity_only,Exploratory association structures only; no absolute-genome-size claim.,analyses/03_phylogenetic_path/data/path_model_comparison.csv,2eee2fd5fe7d734771a17b23286d6468bec7649e6c67c5e2db3dd5ee2d8f42e4,[],{},2eee2fd5fe7d734771a17b23286d6468bec7649e6c67c5e2db3dd5ee2d8f42e4,10,23,2840
S31,Phylogenetic path analysis,Supplementary_Data_S31_path_edge_estimates.csv,CSV,Relative-IOD mechanism edge estimates,Standardized coefficients and intervals for the three Markov-equivalent relative-IOD mechanisms.,sensitivity_only,No uniquely oriented causal-arrow or absolute-genome-size claim.,analyses/03_phylogenetic_path/data/path_edge_estimates.csv,f269c4c048ee58758d76fe08d973cbaf98248160d1d7e889b31e0d939f2b22c8,[],{},f269c4c048ee58758d76fe08d973cbaf98248160d1d7e889b31e0d939f2b22c8,6,10,1326
S32,Phylogenetic path sensitivity,Supplementary_Data_S32_path_model_stability.csv,CSV,Relative-IOD path-model stability,Top-model and competitive-model frequencies across fitted relative-IOD sensitivity analyses.,sensitivity_only,Exploratory stability summary.,analyses/03_phylogenetic_path/data/path_model_stability.csv,14374eb3e5c119cec93a036ae912fdf317609c0d18dae0d12946cac032fd1d7b,[],{},14374eb3e5c119cec93a036ae912fdf317609c0d18dae0d12946cac032fd1d7b,40,8,4640
S33,Phylogenetic path sensitivity,Supplementary_Data_S33_path_tree_sensitivity.csv,CSV,Relative-IOD path tree sensitivity,Relative-IOD model rankings across the declared focal and published-tree sensitivity fits.,sensitivity_only,Tree uncertainty audit; the primary focal-tree fit retains all 24 species.,analyses/03_phylogenetic_path/data/path_tree_sensitivity.csv,d2ed600ca70d28864f28a9793e5d627da2d6a62e4575b9b3ccdebd8364225db2,[],{},d2ed600ca70d28864f28a9793e5d627da2d6a62e4575b9b3ccdebd8364225db2,2030,23,611621
S34,Phylogenetic path sensitivity,Supplementary_Data_S34_path_measurement_sensitivity.csv,CSV,Relative-IOD path measurement sensitivity,Relative-IOD model rankings across 250 measurement-bootstrap replicates of the finalized 24-species panel.,sensitivity_only,Measurement-model audit.,analyses/03_phylogenetic_path/data/path_measurement_sensitivity.csv,71396c8df9c5224f83bb70ba5a13960c317c617d50525733faaae354ce9dcd06,[],{},71396c8df9c5224f83bb70ba5a13960c317c617d50525733faaae354ce9dcd06,2500,23,680976
S35,Phylogenetic path sensitivity,Supplementary_Data_S35_path_leave_one_species_out.csv,CSV,Relative-IOD path leave-one-species-out analysis,Relative-IOD model rankings after omitting each of the 24 finalized species in turn.,sensitivity_only,Influence audit.,analyses/03_phylogenetic_path/data/path_leave_one_species_out.csv,ff8f78f52112e3509ebf69f3d8d24e8606585966e0be4fe8703f9475090e7e04,[],{},ff8f78f52112e3509ebf69f3d8d24e8606585966e0be4fe8703f9475090e7e04,240,23,66467
S36,Phylogenetic path sensitivity,Supplementary_Data_S36_path_simulation_calibration.csv,CSV,Relative-IOD path simulation calibration,Recovery and false-selection summaries for the declared relative-IOD simulation regimes.,audit_only,Calibration gate; blocks confirmatory causal interpretation.,analyses/03_phylogenetic_path/data/path_simulation_calibration.csv,2d25a079991170fc2b7d17a2f1e111b4a2b7b91492dc80e094920fdd4d57d43f,[],{},2d25a079991170fc2b7d17a2f1e111b4a2b7b91492dc80e094920fdd4d57d43f,8,10,1043
S37,Phylogenetic path analysis,Supplementary_Data_S37_path_dsep_tests.csv,CSV,Primary relative-IOD d-separation tests,Basis-set tests for the finalized 24-species relative-IOD candidate models.,audit_only,Global-fit and identifiability audit; no absolute-genome-size claim.,analyses/03_phylogenetic_path/data/path_dsep_tests.csv,2c327495a157cef4c4297f97083366b799bbc4cd45e419b8fc72166e05b6348a,[],{},2c327495a157cef4c4297f97083366b799bbc4cd45e419b8fc72166e05b6348a,15,9,2567
S38,Phylogeny,Supplementary_Data_S38_phylogeny_edges.csv,CSV,Focal phylogeny edge list,Reviewer-readable CSV representation of the exact 24-tip focal Newick tree.,main_candidate,Tree reconstruction and audit.,analyses/03_phylogenetic_path/data/phylogeny_edges.csv,1e30565a1d94f6208506067c5ea38ae6c05675faf14fc92773796f92b1cc5693,[],{},1e30565a1d94f6208506067c5ea38ae6c05675faf14fc92773796f92b1cc5693,46,4,1816
S39,Phylogeny,Supplementary_Data_S39_phylogeny_nodes.csv,CSV,Focal phylogeny node table,Reviewer-readable CSV representation of the exact 24-tip focal Newick tree.,main_candidate,Tree reconstruction and audit.,analyses/03_phylogenetic_path/data/phylogeny_nodes.csv,2d14c31a1b62ca991e0bda6f46b89be2d563386e0cc5fe5d2d498c3b52c3b301,[],{},2d14c31a1b62ca991e0bda6f46b89be2d563386e0cc5fe5d2d498c3b52c3b301,47,4,1705
S40,Integrated TE and image phenotype,Supplementary_Data_S40_te_relative_iod_overlap21.csv,CSV,TE diversity and relative nuclear IOD overlap,"Exact 21-species TE34-by-Path24 overlap joining classified-superfamily observed-richness audit metadata, Shannon entropy, and the Gini-Simpson index to the relative image-derived nuclear-IOD index and conditional intervals.",sensitivity_only,"Descriptive integrated sensitivity table only; observed richness is an audit/support count, and relative IOD is not an independently validated absolute genome-size measurement.",analyses/03_phylogenetic_path/data/te_relative_iod_overlap.csv,20b505b2da38905adae45f147ef8811975eac35de027873a576ab0f6e0c5fe63,"[""data/identity/te34_panel.csv"",""data/identity/path24_panel.csv"",""analyses/01_transposable_elements/data/te_diversity.csv"",""analyses/02_morphology/data/relative_nuclear_iod_species.csv"",""data/identity/species_taxonomy_crosswalk.csv""]","{""analyses/01_transposable_elements/data/te_diversity.csv"":""77afcb3875fa308ffb876a1c8486363e196ce190d4c3df3e4d5d83e8dd4ae847"",""analyses/02_morphology/data/relative_nuclear_iod_species.csv"":""568e072ce9de9025c715afe498a006ef8e1a6001d8c137c196a9323800597bba"",""data/identity/path24_panel.csv"":""6aa3ea8d805ee61796b0e80e8063e92ce6dc7d6c65627e975eed54123fc939f8"",""data/identity/species_taxonomy_crosswalk.csv"":""8e8284661f8ef2d3a3344578159f0ab107e207e7d70c11c96b2afa4dd2b87919"",""data/identity/te34_panel.csv"":""b78afbff2fee4067a4987d837c29ba970b296bb9f0d09104f0b6bf0770a27fbd""}",20b505b2da38905adae45f147ef8811975eac35de027873a576ab0f6e0c5fe63,21,19,9470
